title,latitude,longitude,url,description
"LETS Pollekesland",51.190436,4.560484,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.13001,4.574890,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.070122,4.532551,"http://pollekesland.pelfrene.net/home ","Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.249670,4.499362,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.220914,4.454937,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.076619,4.275717,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.347647,4.641367,http://pollekesland.pelfrene.net/home,"Tel. 034883267<br />info@pollekesland.be"
"LETS Pollekesland",51.382616,4.474961,http://pollekesland.pelfrene.net/,"Tel. 034883267<br />info@pollekesland.be"
"LETS Poperinge",50.85496,2.726793,https://www.facebook.com/LetsIeper/,"Poperinge<br />Tel. 0472832549<br />letsieper@gmail.com"
"LETS Regio Dendermonde",51.025477,4.101951,http://www.letsdendermonde.be,"Fabrieksstraat 31 - 9280 Lebbeke<br />Tel. 0492792059<br />letsdendermonde@gmail.com"
"LETS Regio Turnhout",51.334047,4.958779,http://www.letsturnhout.weebly.com,"Patriottenstraat 117 - 2300 Turnhout<br />Tel. 0478 74 78 80<br />lets.turnhout@gmail.com"
"LETS Roeselare",50.944761,3.121285,http://www.letsroeselare.be,"8800 Roeselare<br />lets.roeselare@gmail.com"
"LETS Sint-Genesius-Rode",50.74594,4.357529,http://www.selsourire.be,"1640 Sint-Genesius-Rode<br />Tel. 0477688509<br />selsourire@gmail.com"
"LETS Sint-Niklaas",51.155883,4.154441,http://www.letssint-niklaas.be,"9100 Sint-Niklaas<br />Tel. 037651442<br />info.lets.sintniklaas@gmail.com"
"LETS Temse",51.129549,4.212750,https://letstemse.wordpress.com/,"9140 Temse<br />lets-temse@hotmail.com"
"LETS Tervuren",50.825926,4.507778,http://www.letstervuren.be,"3080 Tervuren<br />olivierdetervuren@gmail.com"
"LETS Tielt en Molenland",50.998913,3.326810,http://www.letstielt.be/index.html,"8700 Tielt<br />Tel. Lieve 0496 55 89 72 Frans 0473 99 80 37<br />letstielt@gmail.com"
"LETS Tienen",50.81057,4.936220,http://sites.google.com/site/letstienen,"3300 Tienen<br />contactfomulier"
"LETS Torhout",51.064769,3.101623,,"Torhout<br />info@letsvlaanderen.be"
"LETS Vlaamse Ardennen",50.746301,3.603426,http://www.letsvlaamseardennen.be,"Tel. 0472287640<br />letsvlaamseardennen@gmail.com"
"LETS Westhoek",51.073159,2.668034,http://www.letswesthoek.be,"Kantwerkersstraat  10  - 8650 Klerken/Houthulst<br />Tel. 051503914<br />bart@letswesthoek.be"
"LETS Zandland",51.191087,5.117064,http://www.letszandland.be,"2400 Mol<br />contactfomulier"
"LETS Zele",51.086387,4.053702,https://www.facebook.com/LetsZele,"Albrecht Rodenbachstraat 3 - 9240 Zele<br />Tel. 0471102071  (Kevin Boon)<br />letszele@gmail.com"
"LETS Zelzate",51.196023,3.823505,,"Zelzate<br />info@letsvlaanderen.be"
"LETS bij Buurtijd",51.194991,4.423390,http://www.buurtijd.be/wordpress/,"Patriottenstraat 62 - 2600 Berchem<br />Tel. 03 /218.80.43 of 0485/91.48.64<br />info@buurtijd.be"
"Regionaal steunpunt Heist-op-den-Berg",51.077484,4.741674,,"Hoge Brugstraat  - 2220 Heist-op-den-Berg<br />Tel. GSM: 0497 28 71 17 - Vast: 015/655.955<br />daisy.vanrompaey@hotmail.com"
"Regionaal steunpunt Roeselare",50.951091,3.138394,,"Stationsplein 46 - 8800 Roeselare<br />stijn@destuyverij.be, svandierendonck@gmail.com"
"Regionaal steunpunt Roeselare",50.951091,3.138394,,"Stationsplein 46 - 8800 Roeselare<br />stijn@destuyverij.be, svandierendonck@gmail.com"
