title,logo,description,longitude,latitude
Genova – Banca del Tempo &quote;La banda del tempo&quote;,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/07/Logo-La-Banda-del-Tempo.jpg?resize=150%2C150,,8.936904,44.412492
Besnate (Varese) &dash; Banca del Tempo Besnate,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/06/Logo-Besnate-1.jpg?resize=150%2C150,,8.764835,45.700286
Francavilla al Mare &dash; Kairos &dash; Banca del Tempo e dei Saperi,,"Viale Maiella 21, 66023 Francavilla al Mare ",14.267541,42.433473
Vighignolo (Settimo Milanese) &dash; Banca del Tempo L&#8217;Attimo Fuggente,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/03/Logo-Attimo-Fuggente.jpg?resize=150%2C150,"Via Aldo Moro 5, 20019 Vighignolo (Settimo Milanese)",9.041878,45.496989
Lugo &dash; Banca del Tempo e delle Competenze di Lugo e Bassa Romagna,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/03/Logo-Lugo.jpg?resize=150%2C150,,11.905321,44.415768
Genova &dash;  Associazione Il Moltiplicatore: Banca del Tempo NAIF-M3 (Nascono i fiori &dash; Municipio3),https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Il-moltiplicatore-Naif.jpg?resize=150%2C150,,8.95907,44.408162
Vercelli &dash; Banca del Tempo Vita Activa,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Vercelli.jpg?resize=150%2C150,,8.417984,45.31975
Corsano &dash; Banca del Tempo di Corsano,,"Referente: <br>Antonella Nicoli<br>Telefono: <br>+39 320 473 445<br>E-mail: <br>nicoli@libero.itIndirizzo: Via della Libertà 2, c/o Comune di Corsano, 73033 Corsano",18.368393,39.888633
Grosseto &dash; Banca del Tempo di Grosseto &quote;ARS maremma&quote;,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Grosseto-ARS-maremma.jpg?resize=150%2C150,,11.121857,42.781448
Fucecchio &dash; Banca del Tempo di Fucecchio,,,10.810161,43.728704
Vinovo &dash; Banca del Tempo di Vinovo,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vinovo.jpg?resize=150%2C150,,7.6319,44.94917
Verbania &dash; Banca del Tempo di Verbania &quote;Wolf&quote;,,"Referente: <br>Marco Del Signore<br>Telefono: <br>+39 333 786 86 66<br>Facebook: <br>BANCA DEL TEMPO VerbaniaIndirizzo: Via Vittorio Veneto 135, 28922 Verbania",8.569724,45.931051
Torre Pellice &dash; Banca del Tempo di Val Pellice,,,7.220104,44.821808
Torino &dash; Banca del Tempo di Torino – IV Circ.,,"Telefono: <br>+39 011 485 299<br>E-mail: <br>bancadeltempo4ctorino@libero.itIndirizzo: Via Principi d&#8217;Acaja 12, 10143 Torino",7.664551,45.076583
Torino &dash; Banca del Tempo di Torino &dash; II Circ. &quote;In Contro Corrente&quote;,,"Telefono: <br>+39 011 305 72 91<br>E-mail:<br> incontro.corrente@virgilio.itIndirizzo: Via Rubino 45, c/o Cascina Roccafranca, 10137 Torino",7.623597,45.040024
Settimo Torinese &dash; Banca del Tempo di Settimo Torinese,,,7.775515,45.137107
Rosta &dash; Banca del Tempo di Rosta,,"Referente: <br>Ugo Capella<br>Telefono: <br>+39 011 954 00 85<br>E-mail:<br> u.capella@virgilio.itIndirizzo: Via Bastone 36, 10090 Rosta",7.4699,45.06905
Robassomero &dash; Banca del Tempo di Robassomero,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Robassomero.jpg?resize=150%2C150,,7.572698,45.199326
Pino Torinese &dash; Banca del Tempo di Pino Torinese,,"Referente: <br>Costanza Reviglio<br>Telefono: <br>+39 011 811 91 91<br>E-mail: <br>bancadeltempopino@gmail.comIndirizzo: Strada San Felice 2, c/o Centro Pari Dispari Comune, 10025 Pino Torinese",7.772893,45.043577
Pinerolo &dash; Banca del Tempo di Pinerolo,,"Referente: <br>Maria Teresa Maloberti<br>Telefono: <br>+39 012 139 63 73<br>E-mail: <br>bdt.pinerolo@libero.it<br>Sito internet: <br>www.bancadeltempopinerolo.itIndirizzo: Viale della Rimembranza 65/A, 10064 Pinerolo",7.332847,44.892838
Oulx &dash; Banca del Tempo di Oulx,,"Telefono: <br>+39 012 283 11 02<br>E-mail: <br>segreteria@comuneoulx.to.itIndirizzo: Piazza Garambois 1, 10056 Oulx",6.83281,45.03102
Ovada &dash; Banca del Tempo &quote;l&#8217;Idea&quote;,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-LIdea.jpg?resize=150%2C150,dalle ore 21.00 alle ore 23.00 presso la sede in Piazza Cereseto 7<br /></em>,8.639676,44.636157
Oleggio &dash; Banca del Tempo di Oleggio,,"Referente: <br>Anna Maria Gallucci<br>Telefono: <br>+39 032 199 26 20<br>E-mail: <br>annaetonino@libero.itIndirizzo: Viale Paganini 5, 28047 Oleggio",8.63749,45.5998
Novello &dash; Banca del Tempo Dai Tempo al Tempo,,,7.927617,44.58801
Nichelino &dash; Banca del Tempo di Nichelino,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Nichelino.jpg?resize=150%2C150,,7.649758,44.99586
Moncalieri &dash; Banca del Tempo di Moncalieri,,"Referente: <br>E. Lambiase &dash; M. Signorello<br>Telefono: <br>+39 011 605 6 025<br>+39 333 219 73 18<br>E-mail: <br>spaziodonna@comune.moncalieri.torino.itIndirizzo: Via Fiume 17/bis, 10024 Moncalieri",7.66129,45.00939
Monastero Bormida &dash; Banca del Tempo 5 Torri,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-5-Torri.jpg?resize=150%2C150,,8.325237,44.648389
Ivrea &dash; Banca del Tempo di Ivrea,,"Telefono: <br>+39 012 549 514<br>E-mail:<br> as.donneivrea@libero.itIndirizzo: Via Dora Baltea 1, 10015 Ivrea",7.87463,45.4629
Gravere &dash; Banca del Tempo di Gravere,,"Referente: <br>Giorgio Zagaria<br>Telefono: <br>+39 012 232 541<br>E-mail: <br>bancadeltempogravere@tiscali.itIndirizzo: Via Europa 2, 10050 Gravere",7.018051,45.126197
Cumiana &dash; Banca del Tempo di Cumiana,,"Telefono: <br>+39 011 905 93 02<br>E-mail: <br>bdt.cuniana@libero.itIndirizzo: Via Caduti della Libertà 29, 10040 Cumiana",7.372091,44.983523
Chieri &dash; Banca del Tempo di Chieri,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Chieri.jpg?resize=150%2C150,,7.819983,45.010628
Ciriè &dash; Banca del Tempo di Ciriè,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Ciriè.jpg?resize=150%2C150,,7.606892,45.235781
Candelo &dash; Banca del Tempo di Candelo,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Candelo.jpg?resize=150%2C150,,8.110865,45.545578
Brichierasio &dash; Banca del Tempo di Brichierasio,,"Referente: <br>Michele Savalli<br>E-mail: <br>bdtbrichie@yahoo.itIndirizzo: Via Vittorio Emanuele 79b, c/o biblioteca, 10060 Brichierasio",7.30314,44.82405
Borgaro Torinese &dash; Banca del Tempo di Borgaro Torinese,,,7.625689,45.134727
.Coordinamento Banche del Tempo di Torino,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Coordinamento-Torino.jpg?resize=150%2C150,,7.663437,45.089901
Seriate &dash; Banca del Tempo Seriate,,Telefono: <br>+39 035 423 681Indirizzo: 24068 Seriate,9.721701,45.685418
Pisogne &dash; Banca del Tempo Pisogne Brescia,,"Telefono: <br>+39 036 487 446Indirizzo: Via Valcamonica, 25055 Pisogne",10.10906,45.805518
Pavia &dash; Banca del Tempo Pavia &quote;KAIRES&quote;,,"E-mail: <br>info@marrachekream.itIndirizzo: Piazza Municipio 2, c/o Municipio, 27100 Pavia",9.159681,45.184613
Marmirolo &dash; Associazione Tempi Moderni,,"Indirizzo: Piazza Allende 1, 46045 Marmirolo",10.758633,45.220073
Marcheno &dash; Banca del Tempo Marcheno Brescia,,"Telefono: <br>+39 030 896 03 05Indirizzo: Via Rinaldini 5, 25060 Marcheno",10.211185,45.704681
Como &dash; Associazione Comasca del Tempo,,Telefono: <br>+39 031 270 320Indirizzo: 22100 Como,9.085176,45.80806
Cenate di Sotto &dash; Banca del Tempo &quote;Alice&quote;,,Telefono: <br>+39 035 425 09 73<br>E-mail: <br>bdtalice@arcibergamo.itIndirizzo: 24069 Cenate di Sotto,9.825262,45.698853
Castel Goffredo &dash; Banca del Tempo Castel Goffredo,,Telefono: <br>+39 037 677 227Indirizzo: 22065 Castel Goffredo,10.432569,45.269532
Cassolnovo &dash; Associazione un&#8217;ora sola ti vorrei,,Telefono: <br>+39 340 798 60 60<br>E-mail: <br>onlusscassolnovo@libero.itIndirizzo: <br>27023 Cassolnovo,8.809174,45.36304
Brianza &dash; Banca del Tempo Cassago Brianza,,Telefono: <br>+39 399 211 009Indirizzo: 23893 Cassago Brianza,9.292458,45.738925
Capriano del Colle &dash; Banca del Tempo Capriano Del Colle,,"Telefono: <br>+39 030 974 73 84<br>Sito Internet: <br>www.comune.capriano.bs.it/associazioniIndirizzo: Via Falcone 27, 25020 Capriano del Colle",10.134249,45.454629
Brescia &dash; Associazione La Sveglia &dash; Brescia,,"Telefono: <br>+39 030 354 45 50<br>E-mail: <br>roberto@dracmanet.comIndirizzo: Traversa XII 58/A, 25125 Brescia",10.189759,45.514226
Brescia &dash; Associazione La Clessidra &dash; Brescia,,"Telefono: <br>+39 030 372 371Indirizzo: Via Giovanni Cimabue 18/B, 25134 Brescia",10.257988,45.516337
Bovezzo &dash; Associazione Bottega del Tempo &dash; Bovezzo,,"Telefono: <br>+39 030 211 12 07<br>E-mail: <br>cultura@comune.bovezzo.bs.it<br>Sito Internet: <br>www.comune.bovezzo.bs.itIndirizzo: Via Cesare Battisti 52, 25073 Bovezzo",10.234565,45.595402
Castiglione delle Stiviere &dash; Banca del Tempo Zerolimiti,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Castiglione-Zerolimiti.jpg?resize=150%2C150,,10.49441,45.39728
Zanica &dash; Banca del Tempo di Zanica,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Zanica.jpg?resize=150%2C150,,9.68414,45.640087
Villa d&#8217;Adda &dash; Banca del Tempo &quote;Pervilla&quote;,,"Telefono: <br>+39 333 461 38 18<br>E-mail: <br>bdtxv@tiscali.it<br>Sito Internet: <br>www.comune.villadadda.bg.it/banca_del_tempo_pervillaIndirizzo: Piazzale Avis Aido 4/b, nella sede delle Associazioni Don Carlo Gnocchi, 24030 Villa d&#8217;Adda",9.456377,45.717533
Leffe &dash; Banca del Tempo &quote;Darsi Tempo&quote;,,"E-mail: <br>darsitempo@libero.it<br>Sito Internet: <br>www.darsitempo.blogspot.itIndirizzo: Via Locatelli 20, 24026 Leffe",9.887735,45.799174
Stezzano &dash; Banca del Tempo di Stezzano,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Stezzano.jpg?resize=150%2C150,,9.65228,45.65164
Torre Boldone &dash; Banca del Tempo di Torre Boldone,,E-mail: <br>bancadeltempo.torre@gmail.com<br>Sito Internet: <br>www.comune.torreboldone.bg.it<br>Indirizzo: <br>24020 Torre Boldone,9.70662,45.716309
Ponte San Pietro &dash; Banca del Tempo di Ponte San Pietro,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Ponte-San-Pietro.jpg?resize=150%2C150,,9.589826,45.701703
Palazzolo sull&#8217;Oglio &dash; Banca del Tempo Il Club,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Palazzolo.jpg?resize=150%2C150,,9.883505,45.599785
Arcene &dash; Banca del Tempo di Arcene,,"Telefono: <br>+39 347 233 09 27<br>E-mail: <br>bdt.arcene@gmail.comIndirizzo: Piazza del Donatore, c/o Centro Diurno &quote;La Madonnina&quote;, 24040 Arcene",9.613282,45.573472
Bergamo &dash; Banca del Tempo Scambiatempo Redona,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Redona.jpg?resize=150%2C150,,9.692341,45.710988
Bergamo &dash; Banca del Tempo &quote;Longuelo&quote;,,"E-mail: <br>bdtlonguelo@gmail.comIndirizzo: Via Mattioli12/A, c/o Centro Socioculturale, 24129 Bergamo",9.631776,45.693717
Bergamo &dash; Banca del Tempo Bergamo Centro,,"E-mail: <br>bdt.bg.centro@gmail.comIndirizzo: Via Borgo Palazzo 16, 24125 Bergamo",9.679341,45.698132
.Coordinamento delle Banche del Tempo di Bergamo e Provincia &quote;Officina Del Tempo&quote;,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Coordinamento-Bergamo-e-Provincia.jpg?resize=450%2C150,,9.690507,45.708139
Pavia &dash; Banca del Tempo dei Borghi e delle Valli Pavesi,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Borghi-e-delle-Valli-Pavesi-.jpg?resize=150%2C150, ,9.161844,45.199503
Montichiari &dash; Banca del Tempo Montichiari,,Telefono: <br>+39 335 748 96 86<br>Facebook: <br>La Banca del tempo di MontichiariIndirizzo: 25018 Montichiari,10.392871,45.414839
Olgiate Olona &dash; Banca del Tempo Varese Valle Olona,,Telefono: <br>+39 399 910 810<br>E-mail: <br>vania.sergio@libero.itIndirizzo: 21057 Olgiate Olona,8.88761,45.633268
Brescia &dash; Banca del Tempo Il Tempo Solidale,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Il-Tempo-Solidale-Brescia.jpg?resize=150%2C150,Si incontrano gli interessati su appuntamento<br /></em>,10.233013,45.581907
Tradate &dash; Banca del Tempo &quote;Tempo e saperi&quote;,,"Telefono: <br>+39 349 342 52 38<br>E-mail: <br>tempoesaperi.tradate@gmail.com<br>Sito Internet: <br>www.tempoesaperi.blogspot.itIndirizzo: Via Carlo de Simoni, c/o Palazzo del Comune, II piano, 21049 Tradate",8.905827,45.714008
Varese &dash; Banca del Tempo Varese Montello,,,8.816114,45.831676
Luino &dash; Banca del Tempo Varese Luino,,"Telefono: <br>+39 03 089 603 05 <br>E-mail:<br> rosariatorri@libero.itIndirizzo: Viale delle Rimembranze 6, c/o Società Operaia Mutuo Soccorso, 21016 Luino",8.748774,45.998932
Laveno Mombello &dash; Banca del Tempo Laveno Mombello,,"E-mail: <br>bdtlavenomombello@libero.itIndirizzo: Piazza del Carroccio, 21014 Laveno Mombello",8.623815,45.889619
Gallarate &dash; Associazione Banca del Tempo Gallarate,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/06/Logo-Besnate-1.jpg?resize=150%2C150, ,8.79057,45.65953
Carnate &dash; Banca del Tempo Carnate,,,9.37825,45.649258
Melegnano &dash; Assiociazione Culturale Cascina Santa Brera,,"Telefono: <br>+39 02 308 74 79<br>E-mail:<br> giuliana.piccolo@gmail.comIndirizzo: Via Dezza 55/E, 20077 Melegnano",9.327834,45.358127
Valmadrera &dash; Banca del Tempo di Valmadrera,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Valmadrera.jpg?resize=150%2C150,Ti aspettiamo non mancare!!!,9.360401,45.846906
Torno &dash; Banca del Tempo &quote;GiroGiroTempo&quote;,,"E-mail: <br>girogirotempo@virgilio.it<br>Sito internet: <br>www.girogirotempo.itIndirizzo: Via Roma 25, 22020 Torno",9.115223,45.856508
Tavazzano &dash; Banca del Tempo di Tavazzano con Villavesco,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Tavazzano.jpg?resize=150%2C150,,9.40562,45.32919
Saronno &dash; Banca del Tempo di Saronno,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Saronno.jpg?resize=150%2C150,,9.047043,45.626411
Rozzano &dash; Banca del Tempo E….ROZZANO,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Rozzano.jpg?resize=150%2C150,,9.158112,45.38442
Rosate &dash; Banca del Tempo Qualamano,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Rosate.jpg?resize=150%2C150,,9.017163,45.349877
Zibido San Giacomo &dash; Banca del Tempo Il tempo non è denaro,,,9.105983,45.360141
Rho &dash; Banca del Tempo Rho,,"Telefono: <br>+39 02 908 707 12<br>E-mail: <br>bancadeltempo.rho@gmail.comIndirizzo: Via Meda 20, 20017 Rho",9.041432,45.52634
Pero &dash; Banca del Tempo &quote;PeRhoLà…c&#8217;è&quote;,,,9.08363,45.507716
Olgiate Molgora &dash; Banca del Tempo Olgiate Molgora,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Olgiate-Molgora.jpg?resize=150%2C150,,9.40307,45.72888
Milano &dash; Banca del Tempo Comin,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Comin.jpg?resize=150%2C150,,9.22356,45.497544
Chiaravalle &dash; Banca del Tempo Milano Sud,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Milano-Sud.jpg?resize=150%2C150,,9.239282,45.417647
Milano &dash; Banca del Tempo Ora x Ora,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Ora-x-Ora-Milano-2.jpg?resize=150%2C150,,9.078344,45.454141
Milano &dash; Banca del Tempo &quote;4 Corti&quote;,,"Telefono: <br>+39 328 563 60 43<br>E-mail: <br>bdt4corti@gmail.com<br>Sito internet: <br>www.bdt4corti.blogspot.itIndirizzo: Via Anton Giulio Barrili 21, c/o Lab. Sociale, 20141 Milano",9.177585,45.434018
Milano &dash; Banca del Tempo Passatempo,,,9.224757,45.475053
Melegnano &dash; Banca del Tempo Melegnano,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Melegnano.jpg?resize=150%2C150,,9.320292,45.3582
Inzago &dash; Banca del Tempo &quote;Tempo Idea&quote;,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Inzago.jpg?resize=150%2C150,,9.483108,45.541634
Ghedi &dash; Banca del Tempo Moka,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Moka.jpg?resize=150%2C150,,10.266142,45.401523
Cremona &dash; Banca del Tempo La Danza delle Ore,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Cremona-Danza-delle-ore.jpg?resize=150%2C150,,10.032444,45.138435
Como &dash; Banca del Tempo Il Pozzo dei Desideri,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Como-Pozzo-dei-desideri.jpg?resize=150%2C150,,9.084335,45.802969
Cusago &dash; Banca del Tempo di Cusago,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Cusago.jpg?resize=150%2C150,,9.032563,45.448598
Cernusco sul Naviglio &dash; Banca del Tempo Vivere il Tempo &dash; Auser,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vivere-il-Tempo.jpg?resize=150%2C150,,9.328275,45.527347
Cassina De&#8217; Pecchi &dash; Banca del Tempo Cassina De&#8217; Pecchi,,,9.364548,45.515238
Caponago &dash; Banca del Tempo Caponago,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Caponago.jpg?resize=150%2C150,"Via S. Pellico 16, 20867 Caponago",9.383614,45.563396
Vimercate &dash; Banca del Tempo 25esima ora,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vimercate-25ma-Ora.jpg?resize=150%2C150,,9.37064,45.61267
"Correzzana, Lesmo e Camparada &dash; Banca del Tempo Cronoteca",https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Cronoteca2.jpg?resize=450%2C150,,9.307933,45.650236
Buccinasco &dash; Banca del Tempo e dei Saperi,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Buccinasco.jpg?resize=150%2C150,,9.108622,45.420838
Bresso &dash; Banca del Tempo Solotempo Auser,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Bresso.jpg?resize=150%2C150,,9.186757,45.536939
Arese &dash; Banca del Tempo Arese,,"E-mail: <br>bdt.arese@libero.it<br>Indirizzo: <br>Via Resegone 14, 20020 Arese",9.036571,45.569958
.Coordinamento Lombardo Banche del Tempo,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Coordinamento-Milano-e-Provincia-1.jpg?resize=450%2C150, ,9.219414,45.490856
Trento &dash; Banca del Tempo Gaia,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Trento-Gaia.jpg?resize=150%2C150,,11.152745,46.069141
Pozza di Fassa &dash; Banca del Temp Ladina,,,11.684441,46.428529
Levico Terme &dash; Banca del Tempo Selvadega,,,11.31885,46.01519
Predazzo &dash; Banca del Tempo Val di Fiemme,,,11.602437,46.312589
Bosentino &dash; Banca del Tempo Vigolana,https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vigolana.jpg?resize=150%2C150,,11.222167,46.001361
Sopramonte &dash; Banca del Tempo Bondone,,,11.059987,46.070296
Storo &dash; Banca del Tempo Il Chiese,,,10.576357,45.850515
Bolzano &dash; Banca del Tempo Bolzano &quote;Gries-­San Quirino&quote;,https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Logo-Bolzano-1.jpg?resize=150%2C150,,11.334201,46.50394
Sant&#8217;Orsola Terme &dash; Banca del Tempo Valle dei Mòcheni Bersntol,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Logo-Valle-dei-Mòcheni-Bersntol.jpg?resize=150%2C150,,11.303199,46.108239
Pergine Valsugana &dash; Banca del Tempo Amici di Pergine,,,11.249876,46.075173
Borgo Valsugana &dash; Banca del Tempo Borgo Valsugana,,,11.460543,46.053557
Caldonazzo &dash; Banca del Tempo dei Laghi,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Logo-Caldonazzo-Laghi.jpg?resize=150%2C150,,11.262163,45.991744
Trento &dash; Rete Trentina Banche del Tempo,https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Logo-Rete-Trentina.jpg?resize=450%2C150,,11.152745,46.069141
Arezzo &dash; Banca del Tempo &quote;Un cerchio che si allarga&quote;,,"Referente: <br>Francesca Costanzo<br>Telefono: <br>+39 057 537 75 13<br>Fax: <br>+39 057 537 71 71<br>E-mail: <br>bancadentempo.arezzo@gmail.com<br>Sito Internet: <br>www.bancadeltempo.arezzo.it<br>Indirizzo: <br>Via S.Lorentino 28, 52100 Arezzo",11.877632,43.468084
