"title","logo","longitude","latitude"
"Lodi &dash; Banca del Tempo di Lodi","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Lodi.jpg?resize=150%2C150\"" /><strong>Referente:</strong>",9.506389,45.311773
"Milano &dash; Banca del Tempo Il Valore del Tempo On Line","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Il-valore-del-Tempo-On-Line.jpg?resize=150%2C150\"" /><strong>Indirizzo:</strong>",9.231626,45.487032
"Riccione &dash; Banca del Tempo di Riccione","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/09/Logo-Riccione-1.jpg?resize=150%2C150\"" />Viale Lazio 10, 47838 Riccione<br /> ",12.652908,43.994511
"Rimini &dash; Banca del Tempo della Famiglia","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" />Via Giacomo Brodolini 10, loc. Viserba a Monte, 47922 Rimini",12.529594,44.077632
".Coordinamento Banche del Tempo di Rimini e S.Giustina","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" />Via Montiano 14, 47922 Santa Giustina, frazione di Rimini",12.482224,44.068345
"Roma โ Municipio X &dash; Banca del Tempo UIS","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" /><strong></strong>",12.264323,41.739479
"Bergamo &dash; Banca del Tempo Conca Fiorita","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/08/Logo-Conca-Fiorita.jpg?resize=150%2C150\"" /></strong>",9.67955,45.70906
"Matera &dash; Banca del Tempo &quote;Tempo ritrovato&quote;","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" /></strong>",16.593246,40.676851
"Roma โ Municipio XV &dash; Associazione di Promozione Sociale &dash; Reatino 15","<img class=""wp-image-8652 alignleft"" src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/08/Logo-Reatino-15-Roma4-2.jpg?resize=450%2C150\"" /><strong></strong>",12.442523,41.974198
"Genova โ Banca del Tempo &quote;La banda del tempo&quote;","<div src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/07/Logo-La-Banda-del-Tempo.jpg?resize=150%2C150\"" /><strong></strong></div>",8.936904,44.412492
"Besnate (Varese) &dash; Banca del Tempo Besnate","<img class=""alignleft size-thumbnail wp-image-7580"" src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/06/Logo-Besnate-1.jpg?resize=150%2C150\"" /><strong></strong>",8.764835,45.700286
"Francavilla al Mare &dash; Kairos &dash; Banca del Tempo e dei Saperi","<img class=""size-thumbnail wp-image-7565 alignleft"" src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" />Viale Maiella 21, 66023 Francavilla al Mare ",14.267541,42.433473
"Vighignolo (Settimo Milanese) &dash; Banca del Tempo L&#8217;Attimo Fuggente","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/03/Logo-Attimo-Fuggente.jpg?resize=150%2C150\"" />Via Aldo Moro 5, 20019 Vighignolo (Settimo Milanese)<br /> ",9.041878,45.496989
"Lugo &dash; Banca del Tempo e delle Competenze di Lugo e Bassa Romagna","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/03/Logo-Lugo.jpg?resize=150%2C150\"" /><br /> ",11.905321,44.415768
"Genova &dash;  Associazione Il Moltiplicatore: Banca del Tempo NAIF-M3 (Nascono i fiori &dash; Municipio3)","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Il-moltiplicatore-Naif.jpg?resize=150%2C150\"" />dalle ore 10.00 alle ore 12.00",8.95907,44.408162
"Vercelli &dash; Banca del Tempo Vita Activa","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Vercelli.jpg?resize=150%2C150\"" />dalle ore 17:30 alle ore 19:00",8.417984,45.31975
"Corsano &dash; Banca del Tempo di Corsano","&nbsp;<p><strong>Referente:ย </strong><p>Antonella Nicoli<p><strong>Telefono:ย </strong><p>+39 320 473 445<p><strong>E-mail:</strong> <p>nicoli@libero.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via della Libertร  2, c/o Comune di Corsano, 73033 Corsano<br /> &nbsp;",18.368393,39.888633
"Grosseto &dash; Banca del Tempo di Grosseto &quote;ARS maremma&quote;","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/02/Logo-Grosseto-ARS-maremma.jpg?resize=150%2C150\"" /><br /> ",11.121857,42.781448
"Fucecchio &dash; Banca del Tempo di Fucecchio","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" />dalle ore 18:30 alle ore 19:30",10.810161,43.728704
"Vinovo &dash; Banca del Tempo di Vinovo","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Vinovo.jpg?resize=150%2C150\"" /><br /> ",7.6319,44.94917
"Verbania &dash; Banca del Tempo di Verbania &quote;Wolf&quote;","&nbsp;<p><strong>Referente:</strong> <p>Marco Del Signore<p><strong>Telefono:</strong> <p>+39 333 786 86 66<p><strong>Facebook:</strong> <p>BANCA DEL TEMPO Verbania<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Vittorio Veneto 135, 28922 Verbania<br /> &nbsp;",8.569724,45.931051
"Torre Pellice &dash; Banca del Tempo di Val Pellice","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" /><br /> ",7.220104,44.821808
"Torino &dash; Banca del Tempo di Torino โ IV Circ.","&nbsp;<p><strong>Telefono:</strong> <p>+39 011 485 299<p><strong>E-mail:</strong> <p>bancadeltempo4ctorino@libero.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Principi d&#8217;Acaja 12, 10143 Torino<br /> &nbsp;",7.664551,45.076583
"Torino &dash; Banca del Tempo di Torino &dash; II Circ. &quote;In Contro Corrente&quote;","&nbsp;<p><strong>Telefono:</strong> <p>+39 011 305 72 91<p><strong>E-mail:</strong><p> incontro.corrente@virgilio.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Rubino 45, c/o Cascina Roccafranca, 10137 Torino<br /> &nbsp;",7.623597,45.040024
"Settimo Torinese &dash; Banca del Tempo di Settimo Torinese","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" /><br /> ",7.775515,45.137107
"Rosta &dash; Banca del Tempo di Rosta","&nbsp;<p><strong>Referente:</strong> <p>Ugo Capella<p><strong>Telefono:</strong> <p>+39 011 954 00 85<p><strong>E-mail:</strong><p> u.capella@virgilio.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Bastone 36, 10090 Rosta<br /> &nbsp;",7.4699,45.06905
"Robassomero &dash; Banca del Tempo di Robassomero","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Robassomero.jpg?resize=150%2C150\"" />dalle ore 09:30 alle ore 11:30",7.572698,45.199326
"Pino Torinese &dash; Banca del Tempo di Pino Torinese","&nbsp;<p><strong>Referente:</strong> <p>Costanza Reviglio<p><strong>Telefono:</strong> <p>+39 011 811 91 91<p><strong>E-mail:</strong> <p>bancadeltempopino@gmail.com<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Strada San Felice 2, c/o Centro Pari Dispari Comune, 10025 Pino Torinese<br /> &nbsp;",7.772893,45.043577
"Pinerolo &dash; Banca del Tempo di Pinerolo","&nbsp;<p><strong>Referente:</strong> <p>Maria Teresa Maloberti<p><strong>Telefono:</strong> <p>+39 012 139 63 73<p><strong>E-mail:</strong> <p>bdt.pinerolo@libero.it<p><strong>Sito internet:</strong> <p>www.bancadeltempopinerolo.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Viale della Rimembranza 65/A, 10064 Pinerolo<br /> &nbsp;",7.332847,44.892838
"Oulx &dash; Banca del Tempo di Oulx","&nbsp;<p><strong>Telefono:</strong> <p>+39 012 283 11 02<p><strong>E-mail:</strong> <p>segreteria@comuneoulx.to.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Piazza Garambois 1, 10056 Oulx<br /> &nbsp;",6.83281,45.03102
"Ovada &dash; Banca del Tempo &quote;l&#8217;Idea&quote;","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-LIdea.jpg?resize=150%2C150\"" />dalle ore 21.00 alle ore 23.00 presso la sede in Piazza Cereseto 7<br />",8.639676,44.636157
"Oleggio &dash; Banca del Tempo di Oleggio","&nbsp;<p><strong>Referente:</strong> <p>Anna Maria Gallucci<p><strong>Telefono:</strong> <p>+39 032 199 26 20<p><strong>E-mail:</strong> <p>annaetonino@libero.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Viale Paganini 5, 28047 Oleggio<br /> &nbsp;",8.63749,45.5998
"Novello &dash; Banca del Tempo Dai Tempo al Tempo","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" /><br /> ",7.927617,44.58801
"Nichelino &dash; Banca del Tempo di Nichelino","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Nichelino.jpg?resize=150%2C150\"" /><strong></strong>",7.649758,44.99586
"Moncalieri &dash; Banca del Tempo di Moncalieri","&nbsp;<p><strong>Referente:</strong> <p>E. Lambiase &dash; M. Signorello<p><strong>Telefono:</strong> <p>+39 011 605 6 025<p>+39 333 219 73 18<p><strong>E-mail:</strong> <p>spaziodonna@comune.moncalieri.torino.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Fiume 17/bis, 10024 Moncalieri<br /> &nbsp;",7.66129,45.00939
"Monastero Bormida &dash; Banca del Tempo 5 Torri","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-5-Torri.jpg?resize=150%2C150\"" /><br /> ",8.325237,44.648389
"Ivrea &dash; Banca del Tempo di Ivrea","&nbsp;<p><strong>Telefono:</strong> <p>+39 012 549 514<p><strong>E-mail:</strong><p> as.donneivrea@libero.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Dora Baltea 1, 10015 Ivrea<br /> &nbsp;",7.87463,45.4629
"Gravere &dash; Banca del Tempo di Gravere","&nbsp;<p><strong>Referente:</strong> <p>Giorgio Zagaria<p><strong>Telefono:</strong> <p>+39 012 232 541<p><strong>E-mail:</strong> <p>bancadeltempogravere@tiscali.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Europa 2, 10050 Gravere<br /> &nbsp;",7.018051,45.126197
"Cumiana &dash; Banca del Tempo di Cumiana","&nbsp;<p><strong>Telefono:</strong> <p>+39 011 905 93 02<p><strong>E-mail:</strong> <p>bdt.cuniana@libero.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Caduti della Libertร  29, 10040 Cumiana<br /> &nbsp;",7.372091,44.983523
"Chieri &dash; Banca del Tempo di Chieri","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Chieri.jpg?resize=150%2C150\"" /><br /> ",7.819983,45.010628
"Ciriรจ &dash; Banca del Tempo di Ciriรจ","<img class=""wp-image-11461 size-thumbnail alignleft"" src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Ciriรจ.jpg?resize=150%2C150\"" />dalle ore 10:00 alle ore 11:00",7.606892,45.235781
"Candelo &dash; Banca del Tempo di Candelo","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Candelo.jpg?resize=150%2C150\"" /><strong></strong>",8.110865,45.545578
"Brichierasio &dash; Banca del Tempo di Brichierasio","&nbsp;<p><strong>Referente:</strong> <p>Michele Savalli<p><strong>E-mail:</strong> <p>bdtbrichie@yahoo.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Vittorio Emanuele 79b, c/o biblioteca, 10060 Brichierasio<br /> &nbsp;",7.30314,44.82405
"Borgaro Torinese &dash; Banca del Tempo di Borgaro Torinese","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" /><br /> ",7.625689,45.134727
".Coordinamento Banche del Tempo di Torino","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Coordinamento-Torino.jpg?resize=150%2C150\"" /><br /> ",7.663437,45.089901
"Seriate &dash; Banca del Tempo Seriate","&nbsp;<p><strong>Telefono:</strong> <p>+39 035 423 681<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">24068 Seriate<br /> &nbsp;",9.721701,45.685418
"Pisogne &dash; Banca del Tempo Pisogne Brescia","&nbsp;<p><strong>Telefono:</strong> <p>+39 036 487 446<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Valcamonica, 25055 Pisogne<br /> &nbsp;",10.10906,45.805518
"Pavia &dash; Banca del Tempo Pavia &quote;KAIRES&quote;","&nbsp;<p><strong>E-mail:</strong> <p>info@marrachekream.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Piazza Municipio 2, c/o Municipio, 27100 Pavia<br /> &nbsp;",9.159681,45.184613
"Marmirolo &dash; Associazione Tempi Moderni","&nbsp;<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Piazza Allende 1, 46045 Marmirolo<br /> &nbsp;",10.758633,45.220073
"Marcheno &dash; Banca del Tempo Marcheno Brescia","&nbsp;<p><strong>Telefono:</strong> <p>+39 030 896 03 05<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Rinaldini 5, 25060 Marcheno<br /> &nbsp;",10.211185,45.704681
"Como &dash; Associazione Comasca del Tempo","&nbsp;<p><strong>Telefono:</strong> <p>+39 031 270 320<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">22100 Como<br /> &nbsp;",9.085176,45.80806
"Cenate di Sotto &dash; Banca del Tempo &quote;Alice&quote;","&nbsp;<p><strong>Telefono:</strong> <p>+39 035 425 09 73<p><strong>E-mail:</strong> <p>bdtalice@arcibergamo.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">24069 Cenate di Sotto<br /> &nbsp;",9.825262,45.698853
"Castel Goffredo &dash; Banca del Tempo Castel Goffredo","&nbsp;<p><strong>Telefono:</strong> <p>+39 037 677 227<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">22065 Castel Goffredo<br /> &nbsp;",10.432569,45.269532
"Cassolnovo &dash; Associazione un&#8217;ora sola ti vorrei","&nbsp;<p><strong>Telefono:</strong> <p>+39 340 798 60 60<p><strong>E-mail:</strong> <p>onlusscassolnovo@libero.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p>27023 Cassolnovo&nbsp;",8.809174,45.36304
"Brianza &dash; Banca del Tempo Cassago Brianza","&nbsp;<p><strong>Telefono:</strong> <p>+39 399 211 009<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">23893 Cassago Brianza<br /> &nbsp;",9.292458,45.738925
"Capriano del Colle &dash; Banca del Tempo Capriano Del Colle","&nbsp;<p><strong>Telefono:</strong> <p>+39 030 974 73 84<p><strong>Sito Internet:</strong> <p>www.comune.capriano.bs.it/associazioni<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Falcone 27, 25020 Capriano del Colle<br /> &nbsp;",10.134249,45.454629
"Brescia &dash; Associazione La Sveglia &dash; Brescia","&nbsp;<p><strong>Telefono:</strong> <p>+39 030 354 45 50<p><strong>E-mail:</strong> <p>roberto@dracmanet.com<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Traversa XII 58/A, 25125 Brescia<br /> &nbsp;",10.189759,45.514226
"Brescia &dash; Associazione La Clessidra &dash; Brescia","&nbsp;<p><strong>Telefono:</strong> <p>+39 030 372 371<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Giovanni Cimabue 18/B, 25134 Brescia<br /> &nbsp;",10.257988,45.516337
"Bovezzo &dash; Associazione Bottega del Tempo &dash; Bovezzo","&nbsp;<p><strong>Telefono:</strong> <p>+39 030 211 12 07<p><strong>E-mail:</strong> <p>cultura@comune.bovezzo.bs.it<p><strong>Sito Internet:</strong> <p>www.comune.bovezzo.bs.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Cesare Battisti 52, 25073 Bovezzo<br /> &nbsp;",10.234565,45.595402
"Castiglione delle Stiviere &dash; Banca del Tempo Zerolimiti","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Castiglione-Zerolimiti.jpg?resize=150%2C150\"" /><strong></strong>",10.49441,45.39728
"Zanica &dash; Banca del Tempo di Zanica","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Zanica.jpg?resize=150%2C150\"" /><strong></strong>",9.68414,45.640087
"Villa d&#8217;Adda &dash; Banca del Tempo &quote;Pervilla&quote;","&nbsp;<p><strong>Telefono:</strong> <p>+39 333 461 38 18<p><strong>E-mail:</strong> <p>bdtxv@tiscali.it<p><strong>Sito Internet:</strong> <p>www.comune.villadadda.bg.it/banca_del_tempo_pervilla<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Piazzale Avis Aido 4/b, nella sede delle Associazioni Don Carlo Gnocchi, 24030 Villa d&#8217;Adda<br /> &nbsp;",9.456377,45.717533
"Leffe &dash; Banca del Tempo &quote;Darsi Tempo&quote;","&nbsp;<p><strong>E-mail:</strong> <p>darsitempo@libero.it<p><strong>Sito Internet:</strong> <p>www.darsitempo.blogspot.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Locatelli 20, 24026 Leffe<br /> &nbsp;",9.887735,45.799174
"Stezzano &dash; Banca del Tempo di Stezzano","<img class=""wp-image-7953 size-thumbnail alignleft"" src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Stezzano.jpg?resize=150%2C150\"" /><br /> ",9.65228,45.65164
"Torre Boldone &dash; Banca del Tempo di Torre Boldone","&nbsp;<p><strong>E-mail:</strong> <p>bancadeltempo.torre@gmail.com<p><strong>Sito Internet:</strong> <p>www.comune.torreboldone.bg.it<p><strong>Indirizzo:</strong> <p>24020 Torre Boldone&nbsp;",9.70662,45.716309
"Ponte San Pietro &dash; Banca del Tempo di Ponte San Pietro","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Ponte-San-Pietro.jpg?resize=150%2C150\"" /><strong></strong>",9.589826,45.701703
"Palazzolo sull&#8217;Oglio &dash; Banca del Tempo Il Club","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Palazzolo.jpg?resize=150%2C150\"" /><strong>Referente:</strong>",9.883505,45.599785
"Arcene &dash; Banca del Tempo di Arcene","&nbsp;<p><strong>Telefono:</strong> <p>+39 347 233 09 27<p><strong>E-mail:</strong> <p>bdt.arcene@gmail.com<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Piazza del Donatore, c/o Centro Diurno &quote;La Madonnina&quote;, 24040 Arcene<br /> &nbsp;",9.613282,45.573472
"Bergamo &dash; Banca del Tempo Scambiatempo Redona","<img src=\""https://i2.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Redona.jpg?resize=150%2C150\"" /><strong></strong>",9.692341,45.710988
"Bergamo &dash; Banca del Tempo &quote;Longuelo&quote;","&nbsp;<p><strong>E-mail:</strong> <p>bdtlonguelo@gmail.com<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Mattioli12/A, c/o Centro Socioculturale, 24129 Bergamo<br /> &nbsp;",9.631776,45.693717
"Bergamo &dash; Banca del Tempo Bergamo Centro","&nbsp;<p><strong>E-mail:</strong> <p>bdt.bg.centro@gmail.com<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Borgo Palazzo 16, 24125 Bergamo<br /> &nbsp;",9.679341,45.698132
".Coordinamento delle Banche del Tempo di Bergamo e Provincia &quote;Officina Del Tempo&quote;","<img class=""alignleft wp-image-8133"" src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Coordinamento-Bergamo-e-Provincia.jpg?resize=450%2C150\"" /><strong></strong>",9.690507,45.708139
"Pavia &dash; Banca del Tempo dei Borghi e delle Valli Pavesi","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Borghi-e-delle-Valli-Pavesi-.jpg?resize=150%2C150\"" />ย ",9.161844,45.199503
"Montichiari &dash; Banca del Tempo Montichiari","&nbsp;<p><strong>Telefono:</strong> <p>+39 335 748 96 86<p><strong>Facebook:</strong> <p>La Banca del tempo di Montichiari<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">25018 Montichiari<br /> &nbsp;",10.392871,45.414839
"Olgiate Olona &dash; Banca del Tempo Varese Valle Olona","&nbsp;<p><strong>Telefono:</strong> <p>+39 399 910 810<p><strong>E-mail:</strong> <p>vania.sergio@libero.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">21057 Olgiate Olona<br /> &nbsp;",8.88761,45.633268
"Brescia &dash; Banca del Tempo Il Tempo Solidale","<img src=\""https://i1.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2016/01/Logo-Il-Tempo-Solidale-Brescia.jpg?resize=150%2C150\"" />Si incontrano gli interessati su appuntamento<br />",10.233013,45.581907
"Tradate &dash; Banca del Tempo &quote;Tempo e saperi&quote;","&nbsp;<p><strong>Telefono:</strong> <p>+39 349 342 52 38<p><strong>E-mail:</strong> <p>tempoesaperi.tradate@gmail.com<p><strong>Sito Internet:</strong> <p>www.tempoesaperi.blogspot.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Via Carlo de Simoni, c/o Palazzo del Comune, II piano, 21049 Tradate<br /> &nbsp;",8.905827,45.714008
"Varese &dash; Banca del Tempo Varese Montello","<img src=\""https://i0.wp.com/www.associazionenazionalebdt.it/wp-content/uploads/2015/12/Image_coming_soon.jpg?resize=150%2C150\"" /><br /> ",8.816114,45.831676
"Luino &dash; Banca del Tempo Varese Luino","&nbsp;<p><strong>Telefono:</strong> <p>+39ย 03 089 603 05 <p><strong>E-mail:</strong><p> rosariatorri@libero.it<p style=""text-align: left;""><strong>Indirizzo:</strong> <p style=""text-align: left;"">Viale delle Rimembranze 6, c/o Societร  Operaia Mutuo Soccorso, 21016 Luino<br /> &nbsp;",8.748774,45.998932
